location,bath,price,total_sqft_int,BHK
Kaggadasapura,3.0,75.0,1500.0,3
Banashankari Stage V,3.0,47.57,1510.0,3
7th Phase JP Nagar,2.0,59.0,1187.0,2
Kundalahalli,2.0,53.76,1120.0,2
Dodsworth Layout,3.0,99.0,1717.0,3
Mullur,3.0,95.0,2099.0,3
Kasturi Nagar,2.0,58.0,1100.0,2
Hegganahalli,1.0,48.0,1200.0,1
Kothanur,1.0,75.0,1500.0,1
Prashanth Nagar,4.0,600.0,4050.0,5
Haralur Road,2.0,90.0,1255.0,3
5th Phase JP Nagar,2.0,88.0,1220.0,2
Electronic City Phase II,2.0,30.88,1065.0,2
Bellandur,2.0,87.0,1281.0,2
Kaggadasapura,2.0,43.0,1215.0,2
Mysore Road,2.0,73.0,1237.0,2
Lakshminarayana Pura,2.0,70.0,1300.0,2
Banashankari,2.0,65.0,1186.0,2
Kengeri,2.0,35.5,750.0,2
Varthur,2.0,28.0,1083.0,2
Nagaraja Garden,2.0,78.65,1430.0,3
Thanisandra,2.0,68.0,1056.0,2
VGP Layout,3.0,85.0,2108.0,3
Banashankari,3.0,101.0,1650.0,3
Rayasandra,2.0,54.0,1198.0,2
Ejipura,2.0,70.0,1190.0,2
"Judicial Layout, Kanakapura Road, ",2.0,41.0,900.0,2
J.P.nagar 6th Phase.Sarakki Nagar,4.0,185.0,2690.0,4
Kanakapura,2.0,65.0,1340.0,2
Bommenahalli,3.0,2250.0,2940.0,4
Giri Nagar,6.0,400.0,2400.0,6
Yelahanka,2.0,59.2,1260.0,2
Talaghattapura,3.0,153.0,2254.0,3
1st Block BEL Layout,5.0,250.0,1800.0,4
JP Nagar,2.0,45.0,820.0,2
Electronic City,2.0,65.0,1296.0,2
Uttarahalli,2.0,53.55,1190.0,2
Whitefield,2.0,77.0,1173.0,2
Sarjapura - Attibele Road,3.0,90.0,1800.0,3
Yelahanka,2.0,52.0,1102.0,2
Sarjapur,2.0,36.0,913.0,2
Billekahalli,3.0,225.0,2968.0,3
Hosur Road,2.0,106.0,1345.0,2
Dodsworth Layout,3.0,99.0,1594.0,3
Kaverappa Layout,2.0,68.0,1250.0,2
Haralur Road,2.0,60.0,1056.0,2
Whitefield,3.0,68.4,1200.0,3
Kothnur Narayanapura,1.0,77.5,1290.0,2
Amruthnagar,2.0,48.0,1150.0,2
Ambedkar Colony,2.0,145.0,1464.0,2
Gollarapalya Hosahalli,2.0,36.5,861.0,2
Kundalahalli,2.0,82.62,1047.0,2
Lakshmipura,2.0,75.0,1200.0,2
Hongasandra,2.0,45.0,1065.0,2
Rajaji Nagar,3.0,369.0,2300.0,3
Ramamurthy Nagar,2.0,62.0,1000.0,2
Lingadheeranahalli,3.0,113.0,1682.0,3
Harlur,3.0,131.0,1756.0,3
BEL Road,4.0,1000.0,4000.0,5
Vittasandra,2.0,67.32,1238.0,2
Dasanapura,2.0,42.0,814.0,2
Dodda Nekkundi,2.0,46.5,1145.0,2
Varthur,2.0,34.0,965.0,2
Doddabele,2.0,36.0,750.0,2
1st Phase JP Nagar,3.0,131.0,1590.0,3
Begur Road,1.0,40.0,644.0,1
Indira Nagar,2.0,100.0,1260.0,2
Rayasandra,3.0,75.17,1555.0,3
Race Course Road,4.0,450.0,2500.0,4
Kaggadasapura,2.0,48.0,1225.0,2
Rajaji Nagar,3.0,220.0,1640.0,3
Thanisandra,3.0,110.0,1595.0,3
Raja Rajeshwari Nagar,2.0,40.44,1196.0,2
Yelahanka,3.0,108.0,1859.0,3
9th Phase JP Nagar,2.0,60.0,1079.0,2
CV Raman Nagar,2.0,60.0,1198.0,2
Thigalarapalya,4.0,135.0,1830.0,3
Banashankari Stage VI,2.0,59.0,1160.0,2
Srirampuram,2.0,156.0,1485.0,3
Ejipura,3.0,135.0,2070.0,3
Kannamangala,2.0,52.5,957.0,2
Basaveshwara Nagar,4.0,310.0,2400.0,5
Bannerghatta Road,2.0,69.0,1268.0,2
Bannerghatta Road,2.0,87.0,1450.0,3
Manorayana Palya,2.0,75.0,1600.0,3
Uttarahalli,2.0,57.0,1330.0,3
Horamavu Banaswadi,2.0,51.5,1272.0,2
Abbaiah Reddy Layout,2.0,38.49,1100.0,2
Chikkalasandra,2.0,46.76,1075.0,2
Lingarajapuram,2.0,55.0,800.0,2
Vasanthapura,2.0,34.82,995.0,2
Vasantha Vallabha Nagar,1.0,44.0,900.0,2
Haralur Road,2.0,42.0,1140.0,2
Ganga Nagar,2.0,125.0,1480.0,3
Talaghattapura,3.0,148.0,2106.0,3
Sadahalli,2.0,130.0,3800.0,3
Marathahalli,2.0,104.0,1602.0,2
Sarjapur  Road,2.0,116.0,1660.0,3
Electronic City Phase II,3.0,80.0,1549.0,3
Marathahalli,1.0,38.0,700.0,1
Balagere,2.0,64.0,1012.0,2
Marathahalli,3.0,89.0,1469.0,3
Electronic City Phase II,2.0,56.13,1065.0,2
Thanisandra,3.0,93.15,1411.0,3
Pai Layout,2.0,57.5,1400.0,2
Haralur Road,2.0,62.0,1245.0,2
Choodasandra,2.0,50.0,1115.0,2
Vidyaranyapura,2.0,35.0,1000.0,2
Mathikere,2.0,130.0,1500.0,2
Chandapura,1.0,16.45,645.0,1
Kasavanhalli,3.0,82.0,1494.0,3
Bhoganhalli,3.0,129.0,1949.0,3
BTM Layout,2.0,46.5,1020.0,2
Mysore Road,2.0,45.0,883.0,2
Old Airport Road,4.0,280.0,3200.0,4
Anand nagar,3.0,125.0,2010.0,3
Yeshwanthpur,2.0,80.0,1240.0,2
6th Phase JP Nagar,2.0,63.0,1213.0,2
Bannerghatta Road,5.0,195.0,2932.0,4
Whitefield,5.0,250.0,3425.0,4
Gottigere,2.0,45.0,945.0,2
Sathya Layout,2.0,100.0,1504.0,3
Lakshminarayana Pura,3.0,150.0,1569.0,3
Harlur,3.0,130.0,1755.0,3
Vijayanagar,3.0,140.0,1760.0,3
Hoodi,2.0,43.94,1240.0,2
Electronics City Phase 1,3.0,72.54,1450.0,3
5th Phase JP Nagar,2.0,48.0,1000.0,2
Shivaji Nagar,1.0,306.0,3820.0,1
Thyagaraja Nagar,4.0,145.0,2000.0,5
Choodasandra,2.0,59.0,1215.0,2
Raja Rajeshwari Nagar,2.0,75.0,1178.0,2
Hulimavu,4.0,192.0,1500.0,4
Shree Ananth Nagar Layout,2.0,59.0,2040.0,2
Shanti Nagar,2.0,165.0,1602.0,3
Parappana Agrahara,2.0,46.0,1194.0,2
Jayamahal,3.0,220.0,1800.0,3
Dasarahalli,2.0,152.0,2400.0,3
Sarjapur  Road,3.0,108.0,1700.0,3
Jigani,3.0,65.0,1200.0,3
Veer Sandra,3.0,72.0,1500.0,3
Karuna Nagar,3.0,165.0,1240.0,3
Whitefield,3.0,400.0,3000.0,3
TC Palaya,2.0,55.0,900.0,2
Chennappa Layout,2.0,48.0,1280.0,3
CV Raman Nagar,2.0,85.0,1560.0,2
Kambipura,2.0,44.0,883.0,2
Kengeri Satellite Town,2.0,33.0,750.0,2
Bhuvaneshwari Nagar,2.0,45.0,900.0,2
Hormavu,2.0,49.35,1030.0,2
7th Phase JP Nagar,3.0,155.0,1850.0,3
Hennur Road,3.0,110.0,1831.0,3
Raja Rajeshwari Nagar 5th Stage,2.0,38.33,1095.0,2
7th Phase JP Nagar,2.0,61.0,1000.0,2
Electronics City Phase 1,1.0,16.9,360.0,1
Kadugodi,1.0,40.7,925.0,1
Electronic City,2.0,70.93,1140.0,2
Chennammana Kere,2.0,58.4,1145.0,2
RMV Extension Stage 2,3.0,120.0,1862.0,3
 Devarachikkanahalli,2.0,43.0,947.0,2
Kalena Agrahara,2.0,40.0,1120.0,2
Sadanand Nagar,3.0,200.0,2700.0,3
Basavangudi,2.0,93.0,1100.0,2
"Whietfield, ",3.0,98.0,1677.0,3
Uttarahalli,3.0,74.0,1560.0,3
Arekere,3.0,150.0,2060.0,3
Harlur,3.0,140.0,1864.0,3
Electronics City Phase 1,1.0,32.0,638.0,1
Chandapura,2.0,30.0,937.0,2
Hennur Gardens,2.0,115.0,1490.0,3
Thigalarapalya,2.0,48.53,1000.0,2
Horamavu Agara,2.0,37.0,1060.0,2
Kundalahalli,2.0,91.0,1047.0,2
Basaveshwara Nagar,2.0,80.0,1200.0,2
Akshaya Nagar,2.0,75.0,1420.0,3
Sarjapur  Road,3.0,85.0,1539.0,3
Tejaswini Nagar,3.0,59.0,1550.0,3
Seegehalli,3.0,68.0,1553.0,3
Electronic City Phase II,2.0,26.0,920.0,2
Jeevan bima nagar,3.0,120.0,1740.0,3
OMBR Layout,3.0,145.0,1855.0,3
Kundalahalli,3.0,146.0,1724.0,3
B Narayanapura,2.0,60.0,1020.0,2
Thubarahalli,2.0,80.0,1200.0,2
Haralur Road,2.0,58.0,1140.0,2
Basava Nagar,1.0,16.0,550.0,1
Volagerekallahalli,2.0,65.0,1492.0,2
Sarjapur  Road,2.0,82.0,1489.0,3
Haralur Road,2.0,42.0,1140.0,2
Lavakusha Nagar,3.0,65.0,1431.0,3
Lingadheeranahalli,3.0,114.0,1682.0,3
Panathur,2.0,86.26,1198.0,2
Outer Ring Road East,3.0,325.0,3664.0,3
Kodichikkanahalli,2.0,45.0,1026.0,2
Sarjapur  Road,1.0,45.0,539.0,1
Attibele,3.0,120.0,2400.0,3
Thubarahalli,2.0,79.55,1200.0,2
Kundalahalli,5.0,350.0,2500.0,4
Mahalakshmi Puram,5.0,233.0,1500.0,4
Brookefield,2.0,66.5,1225.0,2
Bommanahalli,2.0,72.0,1350.0,2
Vittal Mallya Road,2.0,300.0,1030.0,2
Brindavan Nagar,3.0,111.0,1520.0,3
Whitefield,4.0,550.0,4100.0,4
Dena Bank Colony,2.0,64.5,1391.0,3
Rachenahalli,2.0,50.0,1200.0,2
1st Block HBR Layout,6.0,500.0,2500.0,5
Yelahanka,2.0,80.0,1322.0,2
Whitefield,3.0,128.0,2173.0,3
Sarjapur  Road,2.0,75.0,1200.0,2
Thubarahalli,2.0,47.0,1200.0,2
Mysore Road,2.0,65.0,1170.0,2
NRI Layout,2.0,45.56,1125.0,2
Devanahalli,1.0,28.57,698.5,1
Seetharampalya,2.0,90.0,1250.0,2
Chandapura,2.0,27.68,1025.0,2
High grounds,2.0,190.0,1900.0,3
Electronics City Phase 1,2.0,64.98,1175.0,2
KUDLU MAIN ROAD,3.0,56.0,1464.0,3
Doddabidrakallu,2.0,33.0,900.0,2
Electronics City Phase 1,1.0,21.0,585.0,1
Jigani,5.0,230.0,3170.0,4
Shanti Nagar,2.0,170.0,1602.0,3
Rajaji Nagar,3.0,350.0,2500.0,3
Sarjapur  Road,3.0,180.0,2145.0,3
Bannerghatta Road,2.0,58.0,960.0,2
NGR Layout,1.0,38.0,907.0,1
Old Madras Road,2.0,74.0,1210.0,2
Jnana Ganga Nagar,2.0,70.0,1230.0,2
5th Phase JP Nagar,2.0,75.0,1350.0,3
Kenchenahalli,2.0,58.0,1150.0,2
Sarjapur,2.0,53.35,1404.0,3
OMBR Layout,2.0,48.0,1050.0,2
Hormavu,2.0,50.8,1018.0,2
Hoskote,3.0,57.0,1200.0,3
Ejipura,3.0,95.0,1600.0,3
9th Phase JP Nagar,2.0,80.0,1480.0,2
Kaval Byrasandra,1.0,25.0,480.0,1
Lingarajapuram,1.0,60.0,450.0,1
Austin Town,2.0,23.0,600.0,1
CV Raman Nagar,2.0,85.0,1590.0,3
Nagavara,2.0,40.2,936.0,2
Banashankari,2.0,75.0,1181.0,2
Kengeri,3.0,80.0,1741.0,3
JP Nagar,3.0,123.0,1750.0,3
Varthur Road,2.0,42.7,1050.0,2
Tumkur Road,2.0,60.0,1027.0,2
Sahakara Nagar,2.0,60.0,1000.0,2
Varthur,2.0,44.24,1120.0,2
Jinkethimmanahalli,2.0,85.0,1200.0,2
Kothnoor Dinne,2.0,35.0,1200.0,2
Kasturi Nagar,3.0,110.0,1570.0,3
Frazer Town,2.0,140.0,1315.0,2
Electronic City Phase II,2.0,33.84,1140.0,2
Banashankari,2.0,90.0,1105.0,2
Whitefield,1.0,62.0,905.0,1
HSR Layout,4.0,350.0,2400.0,4
Kudlu Gate,2.0,50.0,1185.0,2
Koramangala,2.0,100.0,1083.0,2
Rayasandra,3.0,60.0,1458.0,3
Hormavu,3.0,75.0,1555.0,3
Devi Nagar,2.0,45.0,1200.0,2
Kudlu,2.0,44.0,1024.0,2
Parappana Agrahara,2.0,47.0,1194.0,2
Kanakapura,3.0,75.0,1450.0,3
Seegehalli,3.0,120.0,1639.0,3
Whitefield,3.0,138.0,1870.0,3
Hennur Road,2.0,87.0,1232.0,2
Kasavanhalli,3.0,184.0,1719.0,3
New Gurappana Palya,4.0,130.0,2000.0,3
Jakkur,2.0,79.0,1230.0,2
KR Puram,2.0,67.0,1076.0,2
Kodigehaali,3.0,177.0,2120.0,3
Kasthuri Nagar East Of NGEF,7.0,460.0,2400.0,6
Horamavu Agara,2.0,41.51,1107.83,2
Chamrajpet,1.0,85.0,505.0,1
Sarjapur  Road,2.0,115.0,1320.0,2
8th Phase JP Nagar,3.0,72.02,1431.5,3
Whitefield,2.0,99.26,1320.0,2
Whitefield,4.0,190.0,2901.0,3
GM Palaya,2.0,65.0,1315.0,3
VGP Layout,2.0,44.0,1000.0,2
Hosakerehalli,3.0,79.8,1596.0,3
Bannerghatta Road,3.0,130.0,1750.0,3
Whitefield,4.0,270.0,2403.0,4
"TR Mill Road, Chamarajpet",2.0,79.0,1175.0,2
Talaghattapura,2.0,29.47,921.0,2
Malleshwaram,4.0,1100.0,4000.0,4
Sultan Palaya,3.0,125.0,1713.0,3
Ittamadu,2.0,43.0,1200.0,2
8th Phase JP Nagar,4.0,90.0,1900.0,3
Binny Pete,3.0,139.0,1795.0,3
Kereguddadahalli,1.0,19.5,600.0,1
Hoodi,2.0,65.0,1240.0,2
Hegde Nagar,4.0,132.0,1965.0,3
Sarjapur,4.0,370.0,4111.0,4
Ganga Nagar,2.0,68.0,1112.0,2
Mahadevpura,2.0,64.5,1136.0,2
Jigani,2.0,55.0,914.0,2
Rachenahalli,2.0,47.25,1050.0,2
Medahalli,2.0,35.0,990.0,2
Yelahanka,2.0,43.0,845.0,2
Whitefield,2.0,96.51,1485.0,2
Singasandra,2.0,58.0,1375.0,2
Uttarahalli,2.0,48.0,1125.0,2
Banashankari,1.0,60.0,720.0,1
7th Phase JP Nagar,2.0,100.0,1460.0,3
Green View Layout,2.0,40.0,1107.0,2
Maruthi Nagar,2.0,75.0,1158.0,2
Yelachenahalli,1.0,30.0,800.0,2
Bhoganhalli,3.0,128.0,1760.0,3
Nandi Hills,4.0,200.0,3200.0,4
Huskur,2.0,32.49,1125.0,2
Frazer Town,3.0,154.0,1706.0,3
BTM Layout,3.0,112.0,1600.0,3
Ramesh Nagar,2.0,90.0,1200.0,2
Whitefield,3.0,101.0,1755.0,3
Hulimavu,2.0,50.0,1200.0,2
BEML Layout,2.0,67.0,1200.0,2
Chokkanahalli,2.0,69.0,1266.67,2
Kariyammana Agrahara,3.0,90.0,1800.0,3
Sector 7 HSR Layout,4.0,275.0,1200.0,3
2nd Phase Judicial Layout,3.0,64.0,1300.0,3
Whitefield,5.0,550.0,4800.0,4
Mysore Road,2.0,50.855,1029.5,2
Raja Rajeshwari Nagar,2.0,40.0,1128.0,2
NS Palya,2.0,160.0,2000.0,2
Panathur,2.0,80.0,1210.0,2
Raja Rajeshwari Nagar,2.0,39.0,1151.0,2
HOSUR MAIN ROAD,3.0,56.0,1464.0,3
Munnekollal,3.0,86.5,1750.0,3
Dasanapura,2.0,65.0,1163.0,2
7th Phase JP Nagar,3.0,110.0,1650.0,3
Kundalahalli Colony,3.0,95.0,1800.0,3
CV Raman Nagar,2.0,58.0,1100.0,2
R.T. Nagar,2.0,60.0,1200.0,2
Ganga Nagar,3.0,65.0,1410.0,3
Begur Road,3.0,98.0,1933.0,3
Begur Road,2.0,45.6,1200.0,2
Jakkasandra Extension,5.0,280.0,2679.0,4
Horamavu Banaswadi,2.0,46.9,1156.0,2
T.C PALYA,2.0,75.0,1230.0,2
Kasavanhalli,1.0,43.82,770.0,1
Ardendale,3.0,105.0,1777.26,3
Kanakpura Road,2.0,85.0,1339.0,2
Sarjapur  Road,3.0,183.0,3044.0,3
Chennappa Layout,2.0,44.8,1080.0,2
Doddabommasandra,5.0,145.0,3150.0,8
Nagadevanahalli,2.0,135.0,2400.0,2
Kothanur,2.0,53.0,1075.0,2
Sarjapur  Road,2.0,62.0,1163.0,3
TC Palaya,2.0,65.0,1200.0,2
Marathahalli,4.0,325.0,3090.0,4
Hebbal,2.0,100.0,1299.0,2
HRBR Layout,2.0,75.0,1170.0,2
Yelahanka,4.0,175.0,2600.0,4
KR Puram,2.0,43.32,1140.0,2
Kanakpura Road,3.0,125.0,1900.0,3
Bommasandra Industrial Area,2.0,31.48,1090.0,2
Nagavarapalya,1.0,57.0,705.0,1
HBR Layout,2.0,60.0,1089.0,2
tc.palya,2.0,48.0,880.0,2
Kereguddadahalli,2.0,32.0,1080.0,2
Thanisandra,2.0,68.1,1093.0,2
Banashankari Stage III,3.0,75.48,1480.0,3
Hegde Nagar,3.0,125.0,1703.0,3
Hebbal,2.0,60.0,1200.0,2
Marathahalli,3.0,116.0,1690.0,3
Yelahanka,2.0,78.0,1305.0,2
Subash Nagar,2.0,45.0,1150.0,2
Stage-4 Bommanahalli,2.0,55.0,1194.0,2
Chokkahalli,3.0,90.0,2000.0,3
Anekal,4.0,99.0,1500.0,3
Bellari Road,2.0,42.5,1025.0,2
Horamavu Agara,2.0,38.19,980.0,2
Hosakerehalli,2.0,100.0,1200.0,3
Whitefield,3.0,149.0,2225.0,3
Ashirvad Colony,2.0,57.0,1022.0,2
Narayanapura,2.0,45.0,1153.0,2
Pai Layout,2.0,60.0,1175.0,2
Yelahanka New Town,1.0,17.0,650.0,1
Billekahalli,3.0,55.0,1350.0,2
Akshya Nagar,2.0,76.0,1200.0,2
Telecom Layout,1.0,54.0,1200.0,2
Chandapura,2.0,25.0,800.0,2
Electronic City,4.0,104.0,2093.0,4
Uttarahalli,2.0,55.44,1320.0,3
Bannerghatta Road,2.0,73.0,1275.0,2
Begur Road,2.0,43.13,1215.0,2
Kanakapura,2.0,45.2,1130.0,2
Begur Road,2.0,71.5,1444.0,3
Vikram Nagar,2.0,38.0,950.0,2
Padmanabhanagar,1.0,90.0,1000.0,2
Banashankari Stage II,2.0,59.52,1240.0,3
Hennur,2.0,50.0,1231.0,2
Benson Town,2.0,120.0,1300.0,2
Yeshwanthpur,3.0,110.0,1713.0,3
Kogilu,2.0,53.33,1200.0,2
Sarjapur  Road,4.0,158.0,3004.0,3
Jalahalli,2.0,49.5,790.0,2
Koramangala,3.0,200.0,1744.0,3
Amblipura,3.0,100.0,1605.0,3
Whitefield,2.0,82.0,1250.0,2
Malleshwaram,3.0,337.0,2476.0,3
Subramanyapura,2.0,76.0,1260.0,3
Yelahanka,2.0,56.0,1180.0,2
Electronic City,2.0,53.9,1025.0,2
Sarjapur  Road,4.0,150.0,1877.0,3
Lakshminarayana Pura,3.0,150.0,1649.0,3
Hennur,5.0,125.0,2500.0,5
Doddakammanahalli,3.0,98.0,1542.0,3
Thigalarapalya,2.0,105.0,1418.0,2
Sarvabhouma Nagar,2.0,42.0,1012.0,2
Chandapura,2.0,65.0,1200.0,2
Green Glen Layout,4.0,95.0,1680.0,3
Old Madras Road,2.0,72.0,1171.0,2
Tumkur Road,2.0,68.62,1027.0,2
Shampura,3.0,75.0,1700.0,3
Kanakapura,2.0,38.15,1090.0,2
Hennur Road,2.0,74.0,1232.0,2
Anekal,2.0,28.0,766.0,2
Kanakpura Road,1.0,27.0,525.0,1
Choodasandra,2.0,65.0,1254.0,3
MS Pallya,5.0,110.0,3600.0,5
Kanakpura Road,3.0,118.0,1593.0,3
ITI Layout,2.0,77.27,1333.0,2
Herohalli,3.0,110.0,1100.0,3
Ardendale,3.0,82.0,1650.0,3
Electronic City,2.0,54.0,940.0,2
Electronic City,1.0,21.0,435.0,1
Begur Road,2.0,36.54,1160.0,2
Electronic City,2.0,77.5,1500.0,3
Doopanahalli,2.0,70.0,1050.0,2
Haralur Road,2.0,43.0,1027.0,2
Seegehalli,4.0,235.0,3000.0,3
Tumkur Road,2.0,95.0,1459.0,3
Yelahanka,3.0,85.61,1711.0,3
Hoodi,2.0,98.0,1250.0,2
Chandapura,1.0,16.45,645.0,1
Anandapura,2.0,57.0,875.0,2
Ramamurthy Nagar,2.0,67.0,1334.0,2
Huskur,2.0,32.92,1140.0,2
Thigalarapalya,4.0,160.0,2072.0,3
Kundalahalli,3.0,170.0,1600.0,3
Kengeri Satellite Town,2.0,39.0,920.0,2
Chandapura,2.0,25.29,778.0,2
Electronic City,3.0,80.0,1631.0,3
Kanakpura Road,1.0,27.5,525.0,1
Devi Nagar,3.0,105.0,2000.0,3
Hennur Road,2.0,66.0,1232.0,2
Virupakshapura,2.0,55.0,1075.0,2
Gubbalala,2.0,70.0,1205.0,2
Rajiv Nagar,5.0,129.0,2340.0,4
Rayasandra,2.0,55.0,1179.0,3
Kodigehaali,2.0,51.0,1013.0,2
Uttarahalli,2.0,40.6,1160.0,2
7th Phase JP Nagar,2.0,62.5,1200.0,2
Richmond Town,2.0,145.0,1100.0,3
Samethanahalli,2.0,55.0,1069.0,2
Kyalasanahalli,3.0,99.0,1200.0,3
Kudlu Gate,1.0,285.0,1400.0,1
Marathahalli,2.0,55.0,1065.0,2
Lakshminarayana Pura,2.0,75.0,1395.0,2
Hebbal Kempapura,2.0,165.0,1725.0,3
Coconut Grove Layout,2.0,43.0,1007.0,2
Amrita Nagar,6.0,150.0,4250.0,6
Hebbal,3.0,117.0,1645.0,3
Kengeri,2.0,58.0,1200.0,2
Mysore Road,2.0,43.61,940.0,2
KR Puram,6.0,175.0,4300.0,6
Indira Nagar,3.0,191.0,1740.0,3
Haralur Road,2.0,47.0,1194.0,2
Sadashiva Nagar,3.0,650.0,3761.0,3
Dodda Nekkundi,3.0,125.0,1829.0,3
Whitefield,4.0,178.0,1800.0,4
Austin Town,2.0,60.0,1000.0,2
Venkatapura,3.0,350.0,5720.0,3
Hebbal,2.0,95.0,1390.0,2
Lakshminarayana Pura,3.0,104.0,1500.0,3
Jakkur,2.0,79.0,1202.0,2
Kodbisanhalli,2.0,59.0,1012.0,2
Whitefield,1.0,40.0,605.0,1
Harlur,2.0,88.0,1331.0,2
Margondanahalli,2.0,69.0,1200.0,2
Kumara Park,2.0,250.0,1150.0,2
Sahakara Nagar,2.0,136.0,1200.0,2
Anand Nagar,2.0,300.0,1800.0,2
Akshaya Vana,2.0,49.0,1280.0,3
Kalkere,2.0,35.0,925.0,2
TC Palaya,2.0,75.0,1500.0,2
Attibele,1.0,12.5,450.0,1
Hennur Road,2.0,95.0,1341.0,2
2nd Phase Judicial Layout,2.0,47.25,1350.0,3
Tumkur Road,2.0,60.0,992.0,2
Uttarahalli,2.0,68.0,1163.0,2
Sarjapur  Road,2.0,70.0,1229.0,2
Electronic City Phase II,2.0,61.26,1219.0,2
Raja Rajeshwari Nagar,2.0,99.13,1525.0,3
Kasavanhalli,2.0,60.0,1147.0,2
Akshaya Nagar,2.0,88.0,1412.0,3
Nagarbhavi,2.0,63.0,1190.0,2
Nagadevanahalli,2.0,65.0,1240.0,3
Ashwathnagar,2.0,55.0,1100.0,2
RR Layout,3.0,111.0,1700.0,3
Ramamurthy Nagar,2.0,46.0,1200.0,2
Kengeri,2.0,25.0,400.0,1
Sarjapur  Road,2.0,70.0,1342.0,2
Vinayaka Nagar,2.0,65.0,1340.0,2
Jakkuru Layout,2.0,54.0,1200.0,2
Yeshwanthpur,1.0,55.0,400.0,1
Gollahalli,2.0,31.0,1600.0,2
Hennur Road,3.0,150.0,2700.0,3
Billapura,3.0,110.0,1780.0,3
Ulsoor,5.0,1584.0,7200.0,4
Kammanahalli,2.0,80.0,1200.0,2
Margondanahalli,2.0,49.0,900.0,2
Sarjapur,3.0,88.0,1830.0,3
Srirampuram,1.0,500.0,650.0,1
MS Pallya,4.0,68.0,1800.0,5
Uttarahalli,2.0,42.59,1065.0,2
Srinagar,3.0,149.0,1080.0,3
Devasthanagalu,2.0,45.0,946.0,2
Laggere,1.0,60.0,1500.0,1
Sarjapur  Road,3.0,110.0,1711.0,3
Chandapura,2.0,25.65,950.0,2
Uttarahalli,2.0,46.76,1075.0,2
Harlur,3.0,133.0,1752.12,3
Hebbal,8.0,220.0,6000.0,8
LB Shastri Nagar,1.0,32.0,665.0,1
Sector 2 HSR Layout,3.0,110.0,1665.0,3
2nd Phase JP Nagar,3.0,190.0,1200.0,3
Marathahalli,3.0,125.0,1693.0,3
Dollars Layout,3.0,220.0,2456.0,3
Rajaji Nagar,3.0,403.0,2559.0,3
Uttarahalli,2.0,40.6,1155.0,2
Divya Unnathi Layout,2.0,64.4,1610.0,3
Anjana Nagar,2.0,185.0,1530.0,2
Subramanya Nagar,1.0,150.0,840.0,1
KR Puram,2.0,42.0,1200.0,2
Janatha Colony,3.0,57.23,1439.0,3
Kasavanhalli,2.0,72.0,1375.0,2
BTM 2nd Stage,5.0,416.0,2990.0,5
Yelahanka,2.0,75.0,1315.0,2
Dommasandra,2.0,40.0,1500.0,2
Yelahanka,6.0,200.0,3600.0,6
Vijayanagar,2.0,82.0,1178.0,2
Thanisandra,2.0,72.0,1093.0,2
Horamavu Banaswadi,2.0,45.0,1200.0,2
Magadi Road,6.0,360.0,5000.0,5
1st Block Jayanagar,2.0,130.0,1200.0,3
Whitefield,3.0,156.0,2210.0,3
Uttarahalli,2.0,70.0,1150.0,2
Silk Board,2.0,60.0,1435.0,3
Whitefield,2.0,78.2,1173.0,2
Jakkur Plantation,3.0,120.0,1717.0,3
Mallasandra,2.0,65.0,1325.0,2
Electronics City Phase 1,2.0,90.0,1025.0,2
Doddakammanahalli,2.0,62.0,1409.0,3
Bellandur,2.0,52.0,1200.0,2
Whitefield,4.0,130.0,1740.0,3
Hennur Road,2.0,88.0,1232.0,2
Chandapura,2.0,36.0,1200.0,2
Whitefield,4.0,625.0,5924.0,4
Veersandra,2.0,50.0,1250.0,2
Munivenkatppa Layout,2.0,171.0,1475.0,2
5th Phase JP Nagar,1.0,23.5,552.0,1
Lakshmipura,2.0,65.0,1225.0,2
Harsha Layout,1.0,16.0,650.0,1
Padmanabhanagar,2.0,52.0,1067.0,2
Sarjapur,2.0,56.0,1364.0,3
Tata Nagar,3.0,75.0,1750.0,3
Bannerghatta Road,2.0,71.0,1240.0,2
Hulimavu,2.0,75.0,1200.0,2
Kaggadasapura,3.0,75.0,1540.0,3
Sathya Layout,2.0,102.0,1504.0,3
New Thippasandra,2.0,49.8,1116.0,2
Hennur Road,4.0,175.0,2365.0,3
Sarjapura - Attibele Road,2.0,37.0,1308.0,2
Vijayanagar,2.0,45.0,864.0,2
Hoskote,2.0,38.0,1069.0,3
Hebbal,2.0,100.0,1333.0,2
Chennammana Kere,4.0,145.0,1800.0,4
Devanahalli,4.0,550.0,6136.0,4
Thanisandra,3.0,107.0,1698.0,3
Raja Rajeshwari Nagar,2.0,48.0,1060.0,2
Hennur,2.0,49.0,1160.0,2
Hennur Road,2.0,66.0,1310.0,2
Shanti Nagar,4.0,240.0,3000.0,4
Varthur,3.0,165.0,2145.0,3
Marathahalli,3.0,125.0,1693.0,3
Devanahalli,3.0,145.0,1200.0,3
Tigalarpalya,2.0,60.0,1150.0,2
Munnekollal,2.0,66.5,1385.0,3
Tumkur Road,2.0,52.5,1066.0,2
2nd Block Bel Layout,3.0,92.0,1625.0,3
Vittasandra,2.0,67.4,1246.0,2
sarjapura main road,4.0,250.0,2400.0,4
Raja Rajeshwari Nagar,6.0,195.0,3900.0,6
7th Phase JP Nagar,2.0,70.65,1000.0,2
